"filename", "language", "JSON", "C#", "comment", "blank", "total"
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Dialogue\Dialogue.cs", "C#", 0, 1, 0, -1, 0
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Dialogue\DialogueObserver.cs", "C#", 0, 32, 0, 9, 41
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Dialogue\DialogueReporter.cs", "C#", 0, 52, 0, 8, 60
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Dialogue\DialogueTrigger.cs", "C#", 0, 12, 0, 0, 12
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Dialogue\DialogueWindowController.cs", "C#", 0, 22, 0, 0, 22
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\InventoryController.cs", "C#", 0, 38, 0, 2, 40
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\InventorySaveLoad.cs", "C#", 0, 17, 0, 2, 19
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\ItemController.cs", "C#", 0, 13, 0, 7, 20
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\Items\ItemSaveData.cs", "C#", 0, 6, 0, 1, 7
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\Items\Package.cs", "C#", 0, 1, 0, 2, 3
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\NPC\NPCController.cs", "C#", 0, 36, 0, 5, 41
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\NPC\TaskReciever.cs", "C#", 0, -31, 0, -8, -39
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Saving\Save.cs", "C#", 0, -6, 0, -3, -9
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Saving\SaveLoad.cs", "C#", 0, 25, 0, 3, 28
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\System\Storage\Storage.cs", "C#", 0, 33, 0, 0, 33
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\System\Vector2Int.cs", "C#", 0, 25, 0, 5, 30
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\Task.cs", "C#", 0, 35, 0, 3, 38
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\TaskGiver.cs", "C#", 0, 8, 0, 2, 10
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\TaskGoal.cs", "C#", 0, -12, 0, 4, -8
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\TaskReciever.cs", "C#", 0, 42, 0, 6, 48
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\UI\TaskLogController.cs", "C#", 0, 4, 0, 2, 6
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Packages\manifest.json", "JSON", 1, 0, 0, 0, 1
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Packages\packages-lock.json", "JSON", 7, 0, 0, 0, 7
"Total", "-", 8, 353, 0, 49, 410
