"filename", "language", "JSON", "C#", "Database", "comment", "blank", "total"
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Examples\Scripts\AudioClipPlayer.cs", "C#", 0, 23, 0, 3, 5, 31
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Examples\Scripts\CameraAdjuster.cs", "C#", 0, 22, 0, 0, 4, 26
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Examples\Scripts\CameraRenderTexture.cs", "C#", 0, 17, 0, 0, 2, 19
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Examples\Scripts\ExamplePlayerControl.cs", "C#", 0, 11, 0, 0, 2, 13
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Examples\Scripts\FontPreviewText.cs", "C#", 0, 25, 0, 3, 5, 33
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Examples\Scripts\WindowSettingsWindow.cs", "C#", 0, 40, 0, 0, 10, 50
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\ActionMenuController.cs", "C#", 0, 50, 0, 10, 8, 68
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\CustomCursorStandaloneInputModule.cs", "C#", 0, 66, 0, 3, 10, 79
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\D90Button.cs", "C#", 0, 54, 0, 3, 8, 65
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\DesktopIcon.cs", "C#", 0, 83, 0, 5, 11, 99
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\DigitalClock.cs", "C#", 0, 34, 0, 3, 7, 44
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\DraggableTopbar.cs", "C#", 0, 67, 0, 7, 13, 87
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\Editor\D90ButtonEditor.cs", "C#", 0, 38, 0, 4, 11, 53
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\Editor\PrefabInstantiatorMenu.cs", "C#", 0, 47, 0, 3, 21, 71
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\Editor\PrefabInstantiatorMethods.cs", "C#", 0, 138, 0, 40, 22, 200
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\PauseMenu.cs", "C#", 0, 36, 0, 3, 8, 47
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\WindowController.cs", "C#", 0, 127, 0, 21, 24, 172
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Editor\RenameEditor.cs", "C#", 0, 15, 0, 0, 2, 17
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Dialogue\Dialogue.cs", "C#", 0, 13, 0, 0, 2, 15
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Dialogue\DialogueObserver.cs", "C#", 0, 32, 0, 0, 9, 41
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Dialogue\DialogueReporter.cs", "C#", 0, 52, 0, 0, 8, 60
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Dialogue\DialogueTrigger.cs", "C#", 0, 27, 0, 0, 3, 30
